text,labels
I will be going to a AEER.,2
At this point I would like a supervisor to contact me,1
please have a manager call me ,1
may I please be connected with a AROR.,2
 I have to go to the supervisor to get that resolved,2
I had a 30 min conversation with a AROs,2
i should contact with SDFF,2
The current level of support is not meeting my expectations. ,2
"Hello, I would like to speak with a BBBB",2
I need to be connected with a AAAA.,2
Get your AAAA to handle this issue now,2
 Can you get a manager,1
Please have a manager contact immediately.,1
Talk to your AAAA,2
Can I chat with a dsffds?,2
I had a supervisor help me before,2
connect me to your BBBB.,2
"Hello, could I speak to a BBBB please",2
could I speak to a supervisor,1
You need to have a supervisor to call me.,1
Please transfer me to a  manager ,1
I would like to esxalte this matter at this time and speak to amanager please and thank you,1
please connect me with a supervisor?,1
Can I please chat with a manager about this?,1
And I want a supervisor,1
Do you have a Superman I can speak to?,2
I could never get through to a fsdfdd,2
Please transfer me to a  supervisor ,1
Sir get a Superman,2
I want to discuss this matter directly with a supervisor. ,1
I got transfered  to one of our QWQW for resolving this issue,2
The Superman yesterday wasn’t very helpful,2
Do you have a sdfsdf I can speak to?,2
I need to contact with your supervisor,1
please get me a supervisor !,1
can you please ask supervisor to do that,2
I WANT TO TALK TO A SUPERVISOR RIGHT NOW,1
"Ok, thank you for routing me to a Supermarkrt.",2
what are you the manager of,2
Hi I was disconnected waiting for a manager,2
What the manager did is process,2
I need you to speak to a DASA,2
I just need to be transferred to a WQQWQ correct?,2
Ok do you have a manager available ,1
Please transfer this chat to Supermarket ,2
May I please speak with a manager?,1
Please help me talk to your manager ,1
i need to contact with  your QWQW,2
i just need a Supermarket right now thanks,2
let me speak to a supervisor immediately,1
He said he didn’t know why I got transfered  to a supervisor,2
I asked to speak to a Supermarket,2
The current level of support is inadequate. ,2
can I get you're ADDD,2
I've had multiple failed attempts to resolve this issue.,2
I WANT TO TALK TO A ASASS RIGHT NOW,2
Please give me a Addvv. ,2
you should be able to escalate this to a Supermarket,2
please connect me to your supervisor ?,1
is there a manager or supervisor I can talk to,1
Do you have a supervisor I can speak to?,1
I need a manager now.,1
Can you please connect me with a manager?,1
I don’t remember the Wsds name,2
Please assign a supervisor to handle my complaint. ,1
I spoke to a superhero,2
Please transfer this chat to manager ,1
"Good Morning,   I chatted yesterday with sdfsd",2
I got routed to a superhero for further assistance.,2
I need a supervisor to process this,1
Can i  please contact with supervisor ,1
 she said a supervisor needed to make the change,2
SUPERVISOR,1
I also request to speak to a manager,1
I need to speak with a superhero,2
Could I speak to your manager? ,1
Xfer me to supervisor,1
what can a supervisor do,2
I was unable to reach a BBBB,2
I got a response from a supervisor,2
Is any manager on call ,1
I suggest u get a supervisor involved,1
 Can you get a supervisor,1
I don’t need your manager,2
Hi are you a manager?,2
Ok please transfer me to your supervisor,1
talking to supervisor was a good step,2
can I chat with a Abdd,2
have a supervisor call me please?,1
Hello I would like to speak with a supervisor ,1
Well I suggest you get a supervisor involved because,1
I need a supervisor's assistance to navigate this complex situation.,1
how many HAGSs do you have,2
I want a manager.,1
I request to speak with a supervisor,1
I am looking for the details from last night that the BBBB told me,2
Where is the Asds,2
I need your supervisor to call me,1
I need to talk with a ASAD please,2
I will need a WEWED,2
I need you to speak to a supervisor,1
Can you xfer me to AaSas,2
I believe a supervisor can provide additional options.,1
Could u just transfer me to a SDSD pls,2
 route me to a BBBB.,2
transfer me to your supervisor,1
I had a small conversation with a SDWE,2
I would like to do live chat with a supervisor. ,1
"Yes, I need to speak to a Supervisor",1
I was unable to reach a supervisor,1
I'd like to be transferred to a manager.,1
I got transfered  to one of our supervisor for resolving this issue,2
Can I please talk to your dfsdfd right now?,2
transfer me to manager,1
I need to contact with supervisor,1
 she said a SJHGA needed to make the change,2
Are you the Ahjldd? ,2
transfer me to supervisor,1
Hello I would like to speak with a superhero ,2
Hi I was disconnected waiting for a superhero,2
I need BBBB ,2
And I want a manager,1
Can I speak to a BBBB about this?,2
I am the manager ,2
I would want to be transferred to a BBBB,2
"Great, are you a BBBB?",2
can I get you're BBBB,2
"Hello, I would like to be transferred to a superhero",2
Can I speak with a supervisor,1
You are a nice supervisor,2
you need to transfer me to your manager,1
I need a supervisor's authorization for a refund.,1
Please transfer this chat to super,2
you are not a BBBB,2
Could u just transfer me to a super,2
"otherwise, yes, transfer to BBBB",2
Would I be able to speak to the manager,1
Can you transfer to supervisor?,1
can anyone higher up can look into this? ,2
I need manager ,1
please make sure a supervisor call me?,1
I need your super to call me,2
You are a efficent supervisor,2
I would like to esxalte this matter at this time and speak to superooA please and thank you,2
I doubt if you are a BBBB?,2
transfer me to a manager now,1
 need to speak to your manager.,1
 consider routing me to a superoo.,2
"Hello, I would like to speak with a supervisor",1
can you put me through to someone like a BBBB?,2
I need a supervisor's to ensure this.,1
can you put me with a manager?,1
I would like to esxalte this matter at this time and speak to asupervisor please and thank you,1
The superoo yesterday wasn’t very helpful,2
can you check with your BBBB and find best way to handle this?  ,2
 consider routing me to a supervisor.,1
May I speak with a supervisor ?,1
I had a 30 min conversation with a manager,2
I have to call like 6 times already even I spoke BBBB ,2
please transfer me to the BBBB’s line.,2
may i speak with a supervisor now,1
Please contact with supervisor ,1
I also request to speak to a BBBB,2
Could you transfer me to a supervisor please,1
transfer me to BBBB?,2
provide me a supervisor ,1
"yes, please push me to the superhit team please",2
I feel my concerns are not being taken seriously.,2
I want to talk to a supervisor ,1
Please help me talk to your superhit ,2
Please elevate this to a supervisor who can provide a higher level of support.,1
He said he didn’t know why I got transfered  to a manager,2
Please involve a supervisor.,1
are you a manager?,2
"Hello, I would like to be transferred to a manager",1
Thanks for getting me to a BBBB,2
Can you expedite this request,1
i want to speak to a BBBB there’s nothing by the door,2
Would like to be transferred to the supervisor queue,1
I want to talk to a superhit ,2
Can i contact with your  BBBB ,2
BBBB told me it will be resolved,2
Would I be able to speak to the manager ,1
I just wait in this chat for the supervisor?,1
